item_code,brand,size,actual_price,selling_price,name,category,product_publishing_date,display_type,screen_resolution,screen_size_diagonal,warranty,tv_operating_system
491211573,Philips,OS,31600.0,9990.0,"Philips 81.28 cm (32 inch) Full HD LED TV, 4000 Series 32PFL4479/V7",LED Televisions,2023-01-19 19:39:03,,,81.28 cm (32 inch),1 Year,
491211715,LYF,OS,89990.0,49990.0,"LYF 127 cm (50 inch) Ultra HD LED Smart TV, LYU5001S",LED Televisions,2021-08-04 21:09:28,Ultra HD (4K),3840 x 2160 - Ultra HD,127 cm (50 inch),2 Years,Android powered TV's
491211717,LYF,OS,199900.0,111100.0,"LYF 165 cm (65 inch) Ultra HD 4K LED Smart TV, LYU6501S",LED Televisions,2023-01-19 17:20:21,Ultra HD (4K),3840 x 2160 - Ultra HD,165 cm (65 inch),2 Years,Android powered TV's
491211802,Reconnect,OS,22990.0,10990.0,"Reconnect 81.28 cm (32 inch) HD LED TV, RELEG3206",LED Televisions,2023-01-19 18:55:14,,,81.28 cm (32 inch),2 Years,
491211803,Reconnect,OS,34990.0,24440.0,"Reconnect 109.22 cm (43 inch) Full HD LED TV, RELEG4301",LED Televisions,2023-01-19 19:59:38,Full HD,1920 x 1080 - HD,109.22 cm (43 inch),2 Years,
491211813,Sony,OS,14990.0,11990.0,"Sony 60.96 cm (24 inch) HD LED TV, KLV-24P413D",LED Televisions,2023-01-19 17:28:58,,,60.96 cm (24 inch),1 Year,
491216829,Reconnect,OS,47990.0,31100.0,"Reconnect 109.22 cm (43 inch) Ultra HD 4K LED Smart TV, RELEE4303",LED Televisions,2023-01-19 17:45:01,,,109.22 cm (43 inch),2 Years,
491216831,Reconnect,OS,89990.0,44990.0,"Reconnect 139.7 cm (55 inch) Ultra HD 4K LED Smart TV, RELEE5502",LED Televisions,2021-08-04 21:09:26,Ultra HD (4K),,139.7 cm (55 inch),2 Years,Android TV
491216834,Micromax,OS,10590.0,8880.0,"Micromax 51 cm (20 inch) HD Ready LED TV, L20B22HDA",LED Televisions,2023-01-19 19:21:44,HD Ready,1600 x 900,51 cm (20 inch),1 Year,
491216835,Reconnect,OS,25990.0,9990.0,"Reconnect 81.28 cm (32 inch) HD LED Smart TV, RELEB3207",LED Televisions,2021-08-04 21:07:08,HD,,81.28 cm (32 inch),2 Years,Android TV
491216836,Reconnect,OS,35990.0,18990.0,"Reconnect 109.22 cm (43 inch) Full HD LED Smart TV, RELEB4304",LED Televisions,2023-01-19 18:50:09,Full HD,,109.22 cm (43 inch),2 Years,Android TV
491216849,Sony,OS,65900.0,42990.0,"Sony 108 cm (43 inch) Full HD LED 3D Smart TV, KDL-43W800D",LED Televisions,2021-08-04 21:05:41,Full HD,1920 x 1080 - HD,108 cm (43 inch),1 Year,Android TV
491216850,Sony,OS,92900.0,59990.0,"Sony Bravia 127 cm (50 inch) Full HD LED 3D Smart TV, KDL-50W800D",LED Televisions,2021-08-04 21:05:41,Full HD,1920 x 1080 - HD,127 cm (50 inch),1 Year,Android TV
491216852,Sony,OS,112900.0,49491.0,"Sony Bravia 127 cm (50 inch) Full HD LED 3D Smart TV, KDL-50W950D",LED Televisions,2023-01-19 17:51:22,,,127 cm (50 inch),1 Year,
491216882,Sony,OS,29900.0,16660.0,"Sony Bravia 81.28 cm (32 inch) HD Ready LED TV, KLV-32R412D",LED Televisions,2023-01-19 18:11:07,,,81.28 cm (32 inch),1 Year,
491216885,Sony,OS,124900.0,53991.0,"Sony Bravia 139.7 cm (55 inch) Full HD LED 3D Smart TV, KDL-55W800D",LED Televisions,2021-08-04 21:06:26,Full HD,1920 x 1080 - HD,139.7 cm (55 inch),1 Year,Android TV
491265245,LG,OS,15990.0,10990.0,"LG 60 cm (24 inch) Full HD LED TV, 24LH480A-PT",LED Televisions,2023-01-19 19:35:17,,,60 cm (24 inch),1 Year,
491265246,LG,OS,14500.0,5990.0,"LG 55.88 cm (22 inch) Full HD LED TV, 22LH458A-CT",LED Televisions,2023-01-19 19:35:17,,,55.88 cm (22 inch),1 Year,
491265291,LG,OS,329900.0,159990.0,"LG 164 cm (65 inch) Ultra HD 4K LED 3D Smart TV, 65UH850T",LED Televisions,2023-01-19 19:32:24,,,164 cm (65 inch),1 Year,webOS
491265294,LG,OS,189900.0,79990.0,"LG 139 cm (55 inch) Ultra HD 4K LED 3D Smart TV, 55UH850T",LED Televisions,2023-01-19 18:54:20,,,139 cm (55 inch),1 Year,webOS
491265297,LG,OS,134900.0,79990.0,"LG 124.46 cm (49 inch) Ultra HD 4K LED 3D Smart TV, 49UH850T",LED Televisions,2023-01-19 17:50:32,,,124.46 cm (49 inch),1 Year,webOS
491265298,LG,OS,119900.0,49990.0,"LG 123 cm (49 inch) Ultra HD 4K LED Smart TV, 49UH770T",LED Televisions,2023-01-19 20:04:51,Ultra HD (4K),3840 x 2160 - Ultra HD,123 cm (49 inch),1 Year,webOS
491265301,LG,OS,75900.0,47990.0,"LG 108 cm (43 inch) Ultra HD 4K LED Smart TV, 43UH650T",LED Televisions,2023-01-19 18:08:10,Ultra HD (4K),3840 x 2160 - Ultra HD,108 cm (43 inch),1 Year,webOS
491265302,LG,OS,103900.0,49990.0,"LG 139 cm (55 inch) Full HD LED Smart TV, 55LH600T",LED Televisions,2023-01-19 19:55:23,,,139 cm (55 inch),1 Year,webOS
491265303,LG,OS,75900.0,44990.0,"LG 124.46 cm (49 inch) Full HD LED Smart TV, 49LH600T",LED Televisions,2023-01-19 17:49:51,,,124.46 cm (49 inch),1 Year,webOS
491265304,LG,OS,69500.0,44990.0,"LG 124.46 cm (49 inch) Full HD LED Smart TV, 49LH576T",LED Televisions,2023-01-19 18:09:13,,,124.46 cm (49 inch),1 Year,
491265306,LG,OS,57900.0,38590.0,"LG 109.22 cm (43 inch) Full HD LED Smart TV, 43LH600T",LED Televisions,2023-01-19 19:39:18,,,109.22 cm (43 inch),1 Year,webOS
491265307,LG,OS,50990.0,47770.0,"LG 109.22 cm (43 inch) Full HD LED Smart TV, 43LH576T",LED Televisions,2023-01-19 17:53:33,,,109.22 cm (43 inch),1 Year,
491265309,LG,OS,79900.0,75100.0,"LG 108 cm (43 inch) Ultra HD 4K LED Smart TV, 43UH750T",LED Televisions,2023-01-19 18:12:17,Ultra HD (4K),3840 x 2160 - Ultra HD,108 cm (43 inch),1 Year,webOS
491277858,Micromax,OS,66990.0,27770.0,MICROMAX 50 FHD LED TV 50C5220FHD,LED Televisions,2023-01-19 19:22:05,,,,1 Year,
491277902,LG,OS,37900.0,27390.0,"LG 80 cm (32 inch) Full HD LED Smart TV, 32LH604T",LED Televisions,2023-01-19 18:11:07,,,80 cm (32 inch),1 Year,webOS
491277903,LG,OS,34500.0,17770.0,"LG 80 cm (32 inch) HD LED Smart TV, 32LH602D",LED Televisions,2023-01-19 18:12:35,,,80 cm (32 inch),1 Year,webOS
491277906,LG,OS,30500.0,17990.0,"LG 80 cm (32 inch) HD LED Smart TV, 32LH578D",LED Televisions,2023-01-19 18:12:35,,,80 cm (32 inch),1 Year,
491277908,LG,OS,24900.0,16660.0,"LG 81.28 cm (32 inch) HD LED TV, 32LH564A",LED Televisions,2023-01-19 17:51:34,,,81.28 cm (32 inch),1 Year,
491281682,Panasonic,OS,175900.0,49990.0,"Panasonic Viera 139 cm (55 inch) Ultra HD 4K LED TV, TH-55CX400DX",LED Televisions,2023-01-19 17:51:22,,,139 cm (55 inch),1 Year,
491282304,Panasonic,OS,18900.0,11100.0,PANASONIC 28 HD LED TV 28D400,LED Televisions,2023-01-19 22:12:59,,,,1 Year,
491282306,Samsung,OS,419900.0,149990.0,"Samsung 163 cm (65 inch) Ultra HD 4K LED Curved Smart TV, Series 9 UA65KS9000K",LED Televisions,2023-01-19 19:35:40,,,163 cm (65 inch),1 Year,
491282329,Samsung,OS,284900.0,129990.0,"Samsung 138 cm (55 inch) Ultra HD 4K LED Curved Smart TV, Series 9 UA55KS9000KLXL",LED Televisions,2023-01-19 19:56:47,,,138 cm (55 inch),1 Year,
491282330,LG,OS,25900.0,17990.0,"LG 80 cm (32 inch) HD LED TV, 32LH520D",LED Televisions,2023-01-19 19:56:47,,,80 cm (32 inch),1 Year,
491282331,Samsung,OS,57900.0,49990.0,"Samsung 101 cm (40 inch) Full HD LED Smart TV, Series 5 UA40K5570AULXL",LED Televisions,2023-01-19 18:11:19,,,101 cm (40 inch),1 Year,Tizen
491282332,Samsung,OS,69900.0,44440.0,"Samsung 108 cm (43 inch) Full HD LED Smart TV, Series 5 UA43K5570AU",LED Televisions,2023-01-19 19:56:47,,,108 cm (43 inch),1 Year,
491282333,Samsung,OS,92500.0,54990.0,"Samsung 124.46 cm (49 inch) Full HD LED Smart TV, Series 5 UA49K5570AU",LED Televisions,2023-01-19 18:11:19,,,124.46 cm (49 inch),1 Year,
491282334,Samsung,OS,127900.0,79990.0,"Samsung 138 cm (55 inch) Full HD LED Smart TV, Series 5 UA55K5570AUMXL",LED Televisions,2023-01-19 19:35:54,,,138 cm (55 inch),1 Year,Tizen
491282335,Samsung,OS,179900.0,64990.0,"Samsung 123 cm (49 inch) Ultra HD 4K LED Smart TV, Series 7 UA49KS7000K",LED Televisions,2023-01-19 19:35:54,,,123 cm (49 inch),1 Year,
491282336,Samsung,OS,244900.0,84990.0,"Samsung 138 cm (55 inch) Ultra HD 4K LED Smart TV, Series 7 UA55KS7000K",LED Televisions,2023-01-19 19:56:48,,,138 cm (55 inch),1 Year,
491282337,Samsung,OS,176900.0,79990.0,"Samsung 139.7 cm (55 inch) Ultra HD 4K LED Smart TV, Series 6 UA55KU6470UMXL",LED Televisions,2023-01-19 18:09:29,,,139.7 cm (55 inch),1 Year,
491282341,LG,OS,72900.0,54990.0,"LG 109.22 cm (43 inch) Ultra HD 4K LED Smart TV, 43UH617T",LED Televisions,2023-01-19 17:53:10,,,109.22 cm (43 inch),1 Year,webOS
491282353,LG,OS,279900.0,191590.0,"LG 139.7 cm (55 inch) Ultra HD 4K OLED Smart TV, OLED55B6T",LED Televisions,2023-01-19 18:09:13,Ultra HD (4K),3840 x 2160 - Ultra HD,139.7 cm (55 inch),1 Year,webOS
491282355,Sony,OS,22900.0,14990.0,"Sony 72.4 cm (29 inch) HD Ready LED TV, KLV-29P423D",LED Televisions,2023-01-19 17:50:32,HD Ready,1366 x 768,72.4 cm (29 inch),1 Year,
491282370,Samsung,OS,136500.0,59990.0,"Samsung 123 cm (49 inch) Ultra HD 4K LED Smart TV, Series 6 UA49KU6470UMXL",LED Televisions,2023-01-19 19:56:48,,,123 cm (49 inch),1 Year,Tizen
491282372,Samsung,OS,197900.0,136090.0,"Samsung 139.7 cm (55 inch) Ultra HD 4K LED Curved Smart TV, Series 6 UA55KU6570U",LED Televisions,2023-01-19 19:56:48,,,139.7 cm (55 inch),1 Year,
491282374,Samsung,OS,116500.0,54990.0,"Samsung 127 cm (50 inch) Ultra HD 4K LED Smart TV, Series 6 UA50KU6000K",LED Televisions,2023-01-19 18:48:50,,,127 cm (50 inch),1 Year,
491282375,Samsung,OS,33900.0,27770.0,"Samsung 81.28 cm (32 inch) HD LED Smart TV, Series 4 UA32K4300AR",LED Televisions,2023-01-19 17:51:46,,,81.28 cm (32 inch),1 Year,
491282376,Samsung,OS,33500.0,19990.0,"Samsung 80 cm (32 inch) Full HD LED TV, Series 5 UA32K5100AR",LED Televisions,2023-01-19 18:49:52,,,80 cm (32 inch),1 Year,
491282378,Samsung,OS,40900.0,27990.0,"Samsung 81.28 cm (32 inch) Full HD LED Smart TV, Series 5 UA32K5570AU",LED Televisions,2023-01-19 17:50:35,,,81.28 cm (32 inch),1 Year,
491282387,Samsung,OS,26900.0,22220.0,"Samsung 81.28 cm (32 inch) HD LED TV, Series 4 UA32K4000AR",LED Televisions,2023-01-19 18:12:36,,,81.28 cm (32 inch),1 Year,
491282389,Samsung,OS,50900.0,32990.0,"Samsung 109.22 cm (43 inch) Full HD LED TV, Series 5 UA43K5100AR",LED Televisions,2023-01-19 18:49:10,,,109.22 cm (43 inch),1 Year,
491295629,Samsung,OS,136000.0,74990.0,"Samsung 139.7 cm (55 inch) Full HD LED Curved Smart TV, Series 6 UA55K6300AK",LED Televisions,2023-01-19 20:10:27,,,139.7 cm (55 inch),1 Year,
491295647,Samsung,OS,84900.0,66660.0,"Samsung 108 cm (43 inch) Ultra HD 4K LED Smart TV, Series 6 UA43KU6470UMXL",LED Televisions,2023-01-19 18:01:02,,,108 cm (43 inch),1 Year,Tizen
491295648,Samsung,OS,62900.0,50450.0,"Samsung 109.22 cm (43 inch) Full HD LED Smart TV, Series 5 UA43K5300AR",LED Televisions,2023-01-19 17:50:59,,,109.22 cm (43 inch),1 Year,Tizen
491295649,Samsung,OS,82500.0,61100.0,"Samsung 124.46 cm (49 inch) Full HD LED Smart TV, Series 5 UA49K5300AR",LED Televisions,2023-01-19 17:49:33,,,124.46 cm (49 inch),1 Year,
491295653,Sony,OS,134900.0,83330.0,"Sony 123 cm (49 inch) Ultra HD 4K LED Smart TV, KD-49X8300D",LED Televisions,2023-01-19 17:50:32,Ultra HD (4K),,123 cm (49 inch),1 Year,
491295731,AOC,OS,18990.0,15550.0,"AOC 80 cm (32 inch) HD Ready LED TV, LE32V30M6/61",LED Televisions,2023-01-19 18:50:03,,,80 cm (32 inch),2 Years,
491295761,Reconnect,OS,12990.0,7990.0,"Reconnect 61 cm (24 inch) HD Ready LED TV, RELEG2403",LED Televisions,2023-01-19 18:50:07,HD Ready,1366 x 768 -HD,61 cm (24 inch),2 Years,
491295762,Reconnect,OS,49990.0,26990.0,"Reconnect 124.46 cm (49 inch) Full HD LED TV, RELEG4901",LED Televisions,2021-08-04 21:13:10,Full HD,1920 x 1080 - HD,124.46 cm (49 inch),2 Years,
491295789,Micromax,OS,19990.0,11100.0,MICROMAX 32 HD LED TV 32T8260HD,LED Televisions,2023-01-19 22:12:57,,,,1 Year,
491295791,Panasonic,OS,24900.0,12990.0,PANASONIC 32 HD LED TV 32D201DX,LED Televisions,2023-01-19 17:50:32,,,,1 Year,
491295793,Sony,OS,26900.0,23990.0,"Sony Bravia 80 cm (32 inch) HD Ready LED TV, KLV-32R302E",LED Televisions,2023-01-19 17:49:51,,,80 cm (32 inch),1 Year,
491295794,Sony,OS,56900.0,54440.0,"Sony Bravia 102 cm (40 inch) Full HD LED Smart TV, KLV-40W672E",LED Televisions,2023-01-19 18:50:08,,,102 cm (40 inch),1 Year,Linux
491295795,Sony,OS,69900.0,45490.0,"Sony 123 cm (49 inch) Full HD LED Smart TV, KLV-49W672E",LED Televisions,2023-01-19 17:50:35,,,123 cm (49 inch),1 Year,
491295807,Sony,OS,31900.0,28990.0,"Sony 80 cm (32 inch) HD Ready LED TV, KLV-32R422E",LED Televisions,2021-08-04 21:05:28,HD Ready,1366 x 768 -HD,80 cm (32 inch),1 Year,
491295808,Sony,OS,34900.0,34440.0,"Sony Bravia 80 cm (32 inch) HD Ready LED Smart TV, KLV-32W622E",LED Televisions,2023-01-19 18:50:09,,,80 cm (32 inch),1 Year,
491295809,Sony,OS,38900.0,38900.0,"Sony 80.1 cm (32 inch) Full HD LED Smart TV, KLV-32W672E",LED Televisions,2021-08-04 21:07:57,Full HD,1920 x 1080 - HD,80.1 cm (32 inch),1 Year,
491295819,Sony,OS,47990.0,37990.0,"Sony Bravia 101.6 cm (40 inch) Full HD LED TV, KLV-40R352E",LED Televisions,2023-01-19 17:49:51,,,101.6 cm (40 inch),1 Year,
491295820,Sony,OS,60900.0,48990.0,"Sony 108 cm (43 inch) Full HD LED Smart TV, KLV-43W772E",LED Televisions,2023-01-19 17:49:20,,,108 cm (43 inch),1 Year,
491295822,Samsung,OS,31500.0,22990.0,"Samsung 80 cm (32 inch) HD LED TV, Series 4 UA32M4100ARLXL",LED Televisions,2023-01-19 17:50:35,,,80 cm (32 inch),1 Year,
491295823,Samsung,OS,54500.0,46000.0,"Samsung 109 cm (43 inch) Full HD LED TV, Series 5 UA43M5100AKXXM",LED Televisions,2023-01-19 18:49:02,,,109 cm (43 inch),1 Year,
491295829,Samsung,OS,314900.0,179890.0,"Samsung 138 cm (55 inch) Ultra HD 4K QLED Smart TV, QA55Q7FAMKLXL",LED Televisions,2023-01-19 18:09:29,Ultra HD (4K),,138 cm (55 inch),1 Year,
491295830,Samsung,OS,344900.0,194340.0,"Samsung 138 cm (55 inch) Ultra HD 4K QLED Curved Smart TV, QA55Q8CAMKLXL",LED Televisions,2023-01-19 18:09:29,Ultra HD (4K),,138 cm (55 inch),1 Year,
491295831,Samsung,OS,440900.0,399890.0,"Samsung 165 cm (65 inch) Ultra HD QLED Smart TV, QA65Q7FAMWXXY",LED Televisions,2023-01-19 18:05:37,Ultra HD (4K),,165 cm (65 inch),1 Year,
491295832,Samsung,OS,470900.0,297900.0,"Samsung 163 cm (65 inch) Ultra HD 4K QLED Curved Smart TV, QA65Q8CAMKLXL",LED Televisions,2023-01-19 18:12:36,Ultra HD (4K),,163 cm (65 inch),1 Year,
491295833,Samsung,OS,66900.0,53330.0,"Samsung 108 cm (43 inch) Full HD LED Smart TV, Series 5 UA43M5570AULXL",LED Televisions,2023-01-19 17:51:46,,,108 cm (43 inch),1 Year,
491295836,Panasonic,OS,72900.0,66660.0,"Panasonic 123 cm (49 inch) Full HD LED Smart TV, 49ES630D",LED Televisions,2021-08-04 21:05:24,Full HD,1920 x 1080 - HD,123 cm (49 inch),1 Year,
491295837,Panasonic,OS,58900.0,36990.0,"Panasonic 108 cm (43 inch) Full HD LED Smart TV, 43ES630D",LED Televisions,2023-01-19 17:52:11,Full HD,1920 x 1080 - HD,108 cm (43 inch),1 Year,
491295838,Panasonic,OS,48990.0,44440.0,"Panasonic 100 cm (40 inch) Full HD LED Smart TV, 40ES500D",LED Televisions,2021-08-04 21:05:24,Full HD,1920 x 1080 - HD,100 cm (40 inch),1 Year,
491295839,Panasonic,OS,32900.0,17990.0,"Panasonic 81 cm (32 inch) HD LED Smart TV, TH-32ES500D",LED Televisions,2023-01-19 17:49:51,,,81 cm (32 inch),1 Year,
491295847,Sony,OS,82900.0,46990.0,"Sony 123 cm (49 inch) Full HD LED Smart TV, KLV-49W772E",LED Televisions,2023-01-19 17:50:59,,,123 cm (49 inch),1 Year,
491295848,Sony,OS,87900.0,50990.0,"Sony 108 cm (43 inch) Ultra HD 4K LED Smart TV, KD-43X8200E",LED Televisions,2023-01-19 18:07:50,,,108 cm (43 inch),1 Year,
491295849,Sony,OS,264900.0,90990.0,"Sony 139 cm (55 inch) Ultra HD 4K LED Smart TV, KD-55X9300E",LED Televisions,2023-01-19 18:07:51,Ultra HD (4K),3840 x 2160 - Ultra HD,139 cm (55 inch),1 Year,Android TV
491295850,Sony,OS,284900.0,199900.0,"Sony 164 cm (65 inch) Ultra HD 4K LED Smart TV, KD-65X9000E",LED Televisions,2023-01-19 18:07:50,,,164 cm (65 inch),1 Year,Android TV
491295851,Samsung,OS,41500.0,21990.0,"Samsung 80 cm (32 inch) Full HD LED Smart TV, Series 5 UA32M5570AULXL",LED Televisions,2023-01-19 17:51:46,,,80 cm (32 inch),1 Year,
491295852,Samsung,OS,89500.0,68340.0,"Samsung 123 cm (49 inch) Full HD LED Smart TV, Series 5 UA49M5570AULXL",LED Televisions,2023-01-19 18:07:50,,,123 cm (49 inch),1 Year,
491295853,Samsung,OS,129500.0,85550.0,"Samsung 138 cm (55 inch) Full HD LED Smart TV, Series 5 UA55M5570AULXL",LED Televisions,2023-01-19 17:51:34,,,138 cm (55 inch),1 Year,
491295854,Samsung,OS,129900.0,97670.0,"Samsung 124.5 cm (49 inch) Ultra HD LED Smart TV, Series 6 UE49MU6470UXXU",LED Televisions,2023-01-19 18:11:02,,,124.5 cm (49 inch),1 Year,
491295855,Samsung,OS,149900.0,111000.0,"Samsung 139 cm (55 inch) Ultra HD 4K LED Smart TV, Series 6 UE55MU6470UXXU",LED Televisions,2023-01-19 18:11:02,,,139 cm (55 inch),1 Year,
491295856,Samsung,OS,294900.0,227670.0,"Samsung 163 cm (65 inch) Ultra HD LED Smart TV, 65MU6470",LED Televisions,2023-01-19 17:50:30,,3840 x 2160 - Ultra HD,163 cm (65 inch),1 Year,Tizen
491295857,Samsung,OS,173900.0,123230.0,"Samsung 124.46 cm (49 inch) Ultra HD 4K LED Smart TV, Series 7 UE49MU7000TXXU",LED Televisions,2023-01-19 19:32:10,,,124.46 cm (49 inch),1 Year,
491295858,Samsung,OS,204900.0,137670.0,"Samsung 139 cm (55 inch) Ultra HD 4K LED Smart TV, Series 7 UN55MU7000FXZA",LED Televisions,2023-01-19 17:49:32,,,139 cm (55 inch),1 Year,
491295859,Samsung,OS,229900.0,166660.0,"Samsung 139.7 cm (55 inch) Ultra HD 4K LED Smart TV, Series 7 55MU7500",LED Televisions,2023-01-19 20:29:37,Ultra HD (4K),3840 x 2160 - Ultra HD,139.7 cm (55 inch),1 Year,
491295860,Samsung,OS,344900.0,220000.0,"Samsung 165 cm (65 inch) Ultra HD 4K LED Smart TV, Series 7 65MU7500",LED Televisions,2023-01-19 20:29:38,Ultra HD (4K),3840 x 2160 - Ultra HD,165 cm (65 inch),1 Year,
491295861,Samsung,OS,599900.0,499900.0,"Samsung 190.5 cm (75 inch) Ultra HD 4K LED Smart TV, Series 7 75MU7000",LED Televisions,2021-08-04 21:05:16,,3840 x 2160 - Ultra HD,190.5 cm (75 inch),1 Year,
491295865,Panasonic,OS,37900.0,19990.0,"Panasonic 98 cm (39 inch) HD Ready LED TV, TH-39E200DX",LED Televisions,2023-01-19 18:09:29,HD Ready,1366 x 768 -HD,98 cm (39 inch),1 Year,
491295866,Panasonic,OS,141900.0,80330.0,"Panasonic 124 cm (49 inch) Ultra HD 4K LED Smart TV, TH-49EX600D",LED Televisions,2023-01-19 18:09:29,,,124 cm (49 inch),1 Year,
491295869,Panasonic,OS,178900.0,99990.0,"Panasonic 139 cm (55 inch) Ultra HD 4K LED Smart TV, TH-55EX600D",LED Televisions,2023-01-19 17:28:59,,,139 cm (55 inch),1 Year,
491295878,Panasonic,OS,31990.0,19990.0,"Panasonic 80 cm (32 inch) Full HD LED Smart TV, TH-32ES480DX",LED Televisions,2021-08-04 21:05:25,Full HD,1366 x 768 -HD,80 cm (32 inch),1 Year,
491295881,Sony,OS,204900.0,74490.0,"Sony 139 cm (55 inch) Ultra HD 4K LED Smart TV, KD-55X9000E",LED Televisions,2023-01-19 17:48:53,,,139 cm (55 inch),1 Year,Android TV
491295882,Sony,OS,364900.0,244440.0,"Sony 164 cm (65 inch) Ultra HD 4K LED Smart TV, KD-65X9300E",LED Televisions,2021-08-04 21:08:57,Ultra HD (4K),3840 x 2160 - Ultra HD,164 cm (65 inch),1 Year,Android TV
491295883,Samsung,OS,25900.0,21660.0,"Samsung 80 cm (32 inch) HD LED TV, Series 4 UA32M4000ARLXL",LED Televisions,2023-01-19 17:49:37,,,80 cm (32 inch),1 Year,
491295884,Samsung,OS,75500.0,52770.0,"Samsung 101.6 cm (40 inch) Ultra HD 4K LED Smart TV, Series 6 UA40MU6100KLXL",LED Televisions,2023-01-19 17:51:30,,,101.6 cm (40 inch),1 Year,
491295885,Samsung,OS,99900.0,82120.0,"Samsung 127 cm (50 inch) Ultra HD LED Smart TV, Series 6 UA50MU6100WXXY",LED Televisions,2023-01-19 17:51:34,Ultra HD (4K),,127 cm (50 inch),1 Year,
491295890,LG,OS,584990.0,444440.0,"LG 164 cm (65 inch) Ultra HD OLED Smart TV, OLED65E7T",LED Televisions,2021-08-04 21:05:37,OLED,3840 x 2160 - Ultra HD,164 cm (65 inch),1 Year,webOS
491295892,LG,OS,334990.0,149440.0,"LG 138 cm (55 inch) Ultra HD 4K OLED Smart TV, OLED55C7T",LED Televisions,2023-01-19 18:11:07,Ultra HD (4K),3840 x 2160 - Ultra HD,138 cm (55 inch),1 Year,webOS
491295895,LG,OS,175990.0,125550.0,"LG 139 cm (55 inch) Ultra HD 4K LED Smart TV, 55UJ752T",LED Televisions,2023-01-19 19:32:24,,,139 cm (55 inch),1 Year,webOS
491295896,LG,OS,100990.0,93330.0,"LG 139 cm (55 inch) Ultra HD 4K LED Smart TV, 55UJ652T",LED Televisions,2023-01-19 17:20:08,,,139 cm (55 inch),1 Year,webOS
491295898,LG,OS,122990.0,99990.0,"LG 123 cm (49 inch) Ultra HD 4K LED Smart TV, 49UJ752T",LED Televisions,2023-01-19 19:55:23,,,123 cm (49 inch),1 Year,webOS
491295899,LG,OS,86990.0,81100.0,"LG 123 cm (49 inch) Ultra HD 4K LED Smart TV, 49UJ652T",LED Televisions,2023-01-19 18:12:35,,,123 cm (49 inch),1 Year,webOS
491295900,LG,OS,79990.0,76990.0,"LG 108 cm (43 inch) Ultra HD 4K LED Smart TV, 43UJ752T",LED Televisions,2023-01-19 18:09:28,,,108 cm (43 inch),1 Year,webOS
